reach,grip_close,idle,drop,away,grasp_hold,success_bonus,partial_credit,align_shape,dense_align,builtin,n_drops,n_grasped_steps,_align,_rise,_certified,_steps,_total,_disc,outcome
0.0,0.0,-9.600000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,59.24215018878044,0,8,0.9557201887087609,0.15640310144716374,1,24,199.64215018878045,167.67419952756313,CERTIFIED
0.0,0.0,-11.600000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,55.1834589669422,0,8,0.648575794473314,0.0899719208762606,1,29,193.5834589669422,155.77486755278912,CERTIFIED
0.0,0.0,-10.800000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.92018045956681,0,8,0.9351372048174552,0.16422710490072912,1,27,197.1201804595668,161.42291059124287,CERTIFIED
0.0,0.0,-11.200000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,59.01920453973969,0,8,0.3884383316585488,0.12397349224855603,1,28,197.81920453973967,160.7625785412883,CERTIFIED
0.0,0.0,-10.000000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.740087307742726,0,8,0.8963807557629093,0.07365834402503102,1,25,198.74008730774273,165.49050292135036,CERTIFIED
0.0,0.0,-8.800000000000002,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.737464281891356,0,8,0.356001549702601,0.13195399373067818,1,22,201.93746428189135,172.5992073718001,CERTIFIED
0.0,0.0,-9.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.24879166470691,0,8,0.9188674011280057,0.24175068530117227,1,23,201.0487916647069,170.33230646797165,CERTIFIED
0.0,0.0,-11.600000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,56.99223100157553,0,8,0.8000613238493051,0.11682346225815798,1,29,195.39223100157554,157.28562436863305,CERTIFIED
0.0,0.0,-10.800000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.064901667426376,0,8,0.660471886158999,0.16721534077800626,1,27,197.2649016674264,161.52062241305106,CERTIFIED
0.0,0.0,-11.600000000000005,-5.0,0.0,0.0,150.0,0.0,0.0,0.0,83.5325156948692,1,12,0.5656876940953575,0.20900444978132016,1,29,216.9325156948692,180.27158561395726,CERTIFIED
0.0,0.0,-17.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,53.70761759826113,0,8,0.1361852151423414,0.11305851304126446,1,43,186.50761759826113,136.43492100900292,CERTIFIED
0.0,0.0,-9.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.033226653769006,0,8,0.16860207994778942,0.1850488561622391,1,23,198.833226653769,168.2937984141899,CERTIFIED
0.0,0.0,-18.4,-15.0,0.0,0.0,150.0,0.0,0.0,0.0,75.51633439801266,3,16,0.9216654481193327,0.07757903452408044,1,46,192.11633439801267,147.75943730821248,CERTIFIED
0.0,0.0,-11.200000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,55.58627102883979,0,8,0.25115350076715626,0.13601324990737185,1,28,194.3862710288398,157.697007658195,CERTIFIED
0.0,0.0,-11.200000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.925610685505234,0,8,0.953771571499615,0.13661313966894006,1,28,196.72561068550522,159.79305378622362,CERTIFIED
0.0,0.0,-9.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,59.5691333753351,0,8,0.735805097762082,0.10437473933783614,1,23,200.36913337533508,169.7171719496858,CERTIFIED
0.0,0.0,-10.000000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,62.62226583159169,0,8,0.19555239427721172,0.19617947669385227,1,25,202.62226583159168,169.17225677905662,CERTIFIED
0.0,0.0,-8.400000000000002,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.733499225133386,0,8,0.9391874384431825,0.1095975057003985,1,21,202.33349922513338,174.31011620873107,CERTIFIED
0.0,0.0,-9.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.99400439010486,0,8,0.6536827361109323,0.26541962826977916,1,23,199.79400439010487,169.17594803745692,CERTIFIED
0.0,0.0,-10.400000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.23200863326318,0,8,0.726568588377621,0.10577673284063971,1,26,196.83200863326317,162.4575131772612,CERTIFIED
0.0,0.0,-13.200000000000006,0.0,0.0,0.0,150.0,0.0,0.0,0.0,52.48363173630694,0,8,0.28055514615730537,0.18550963293919054,1,33,189.28363173630694,147.99757811409071,CERTIFIED
0.0,0.0,-11.200000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,55.488849295471525,0,8,0.7711453470138243,0.10132875865247926,1,28,194.28884929547152,157.6333245477922,CERTIFIED
0.0,0.0,-10.400000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.669575272402135,0,8,0.6121655314900547,0.1403999897069821,1,26,200.26957527240214,165.5674194241537,CERTIFIED
0.0,0.0,-11.600000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.944859095186246,0,8,0.1940239637967851,0.13837866185225034,1,29,196.34485909518625,158.14042376614208,CERTIFIED
0.0,0.0,-14.000000000000007,0.0,0.0,0.0,150.0,0.0,0.0,0.0,49.28014686039568,0,8,0.22861422830436218,0.24460863490791418,1,35,185.2801468603957,142.70925538850133,CERTIFIED
0.0,0.0,-8.800000000000002,0.0,0.0,0.0,150.0,0.0,0.0,0.0,59.99370975865364,0,8,0.39022481605709725,0.279508477029203,1,22,201.19370975865363,171.86480311638908,CERTIFIED
0.0,0.0,-10.400000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.79167740587157,0,8,0.2483203888702854,0.14140128252656203,1,26,197.39167740587158,162.95667497821228,CERTIFIED
0.0,0.0,-9.200000000000003,0.0,0.0,0.0,150.0,0.0,0.0,0.0,60.687132422448926,0,8,0.965303477286736,0.19388800660127292,1,23,201.48713242244892,170.72905057510204,CERTIFIED
0.0,0.0,-11.200000000000005,0.0,0.0,0.0,150.0,0.0,0.0,0.0,57.738240277668254,0,8,0.9263643715392655,0.11166116057955078,1,28,196.53824027766825,159.61746022878458,CERTIFIED
0.0,0.0,-8.800000000000002,0.0,0.0,0.0,150.0,0.0,0.0,0.0,58.20350324522578,0,8,0.23966051341741879,0.07943453817923596,1,22,199.40350324522578,170.17402646444697,CERTIFIED
0.0,0.0,-11.200000000000005,-5.0,0.0,0.0,150.0,0.0,0.0,0.0,60.31517738470117,1,9,0.9306475505100436,0.17065075348746817,1,28,194.11517738470116,161.87256750650977,CERTIFIED
0.0,0.0,-10.000000000000004,0.0,0.0,0.0,150.0,0.0,0.0,0.0,55.73808196491827,0,8,0.22511703249181436,0.09058133097479848,1,25,195.73808196491828,162.82208847563587,CERTIFIED
0.0,0.0,-12.800000000000006,-5.0,0.0,0.0,150.0,0.0,0.0,0.0,53.40468866075404,1,9,0.04351025376223816,0.1283813961530843,1,32,185.60468866075402,149.9307824366921,CERTIFIED
