reach,grip_close,idle,drop,away,grasp_hold,success_bonus,partial_credit,align_shape,dense_align,builtin,n_drops,n_grasped_steps,_align,_rise,_certified,_steps,_total,_disc,outcome
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.84215018878045,0,8,0.9557201887087609,0.15640310144716374,1,24,218.84215018878047,176.24707389527438,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,66.78345896694219,0,8,0.648575794473314,0.0899719208762606,1,29,216.7834589669422,165.88798377952529,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.7201804595668,0,8,0.9351372048174552,0.16422710490072912,1,27,218.7201804595668,170.92920201735873,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,70.21920453973969,0,8,0.3884383316585488,0.12397349224855603,1,28,220.21920453973968,170.57380705314299,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.74008730774273,0,8,0.8963807557629093,0.07365834402503102,1,25,218.74008730774273,174.37764854538446,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,69.53746428189136,0,8,0.356001549702601,0.13195399373067818,1,22,219.53746428189135,180.53398379023827,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,69.44879166470692,0,8,0.9188674011280057,0.24175068530117227,1,23,219.4487916647069,178.5877351222254,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.59223100157553,0,8,0.8000613238493051,0.11682346225815798,1,29,218.59223100157553,167.3987405953692,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.86490166742638,0,8,0.660471886158999,0.16721534077800626,1,27,218.86490166742638,171.0269138391669,CERTIFIED
0.0,0.0,0.0,-5.0,0.0,0.0,150.0,0.0,0.0,0.0,95.13251569486921,1,12,0.5656876940953575,0.20900444978132016,1,29,240.1325156948692,190.3847018406934,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,70.90761759826114,0,8,0.1361852151423414,0.11305851304126446,1,43,220.90761759826114,150.4708158742668,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,67.23322665376901,0,8,0.16860207994778942,0.1850488561622391,1,23,217.233226653769,176.54922706844363,CERTIFIED
0.0,0.0,0.0,-15.0,0.0,0.0,150.0,0.0,0.0,0.0,93.91633439801261,3,16,0.9216654481193327,0.07757903452408044,1,46,228.91633439801262,162.5664920600832,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,66.78627102883978,0,8,0.25115350076715626,0.13601324990737185,1,28,216.7862710288398,167.50823617004968,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,69.12561068550524,0,8,0.953771571499615,0.13661313966894006,1,28,219.12561068550525,169.60428229807832,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.7691333753351,0,8,0.735805097762082,0.10437473933783614,1,23,218.76913337533512,177.97260060393955,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,72.62226583159169,0,8,0.19555239427721172,0.19617947669385227,1,25,222.62226583159168,178.05940240309076,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,69.13349922513339,0,8,0.9391874384431825,0.1095975057003985,1,21,219.1334992251334,181.92100147988074,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.19400439010487,0,8,0.6536827361109323,0.26541962826977916,1,23,218.19400439010485,177.4313766917107,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,67.63200863326317,0,8,0.726568588377621,0.10577673284063971,1,26,217.63200863326318,171.65578734505502,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,65.68363173630694,0,8,0.28055514615730537,0.18550963293919054,1,33,215.68363173630695,159.2883568101597,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,66.68884929547154,0,8,0.7711453470138243,0.10132875865247926,1,28,216.68884929547153,167.4445530596469,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,71.06957527240213,0,8,0.6121655314900547,0.1403999897069821,1,26,221.06957527240212,174.7656935919475,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,69.54485909518625,0,8,0.1940239637967851,0.13837866185225034,1,29,219.54485909518627,168.25353999287825,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,63.280146860395675,0,8,0.22861422830436218,0.24460863490791418,1,35,213.2801468603957,154.57134758851856,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.79370975865363,0,8,0.39022481605709725,0.279508477029203,1,22,218.79370975865362,179.79957953482722,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.19167740587157,0,8,0.2483203888702854,0.14140128252656203,1,26,218.1916774058716,172.1549491460061,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,69.88713242244891,0,8,0.965303477286736,0.19388800660127292,1,23,219.88713242244893,178.9844792293558,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,68.93824027766826,0,8,0.9263643715392655,0.11166116057955078,1,28,218.93824027766826,169.4286887406393,CERTIFIED
0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,67.00350324522579,0,8,0.23966051341741879,0.07943453817923596,1,22,217.00350324522577,178.10880288288513,CERTIFIED
